rank,domain,word1,tld,phrase_count,premium_likely,restricted
160,developing.world,developing,world,832650,0,0
161,rate.mortgage,rate,mortgage,832646,0,0
162,hairy.men,hairy,men,831880,0,0
163,pharmacy.online,pharmacy,online,831785,0,0
164,loan.mortgage,loan,mortgage,830744,0,0
165,new.online,new,online,829068,0,0
166,homeland.security,homeland,security,828201,1,0
167,first.game,first,game,823410,1,0
168,degree.online,degree,online,818034,0,0
169,stop.shop,stop,shop,814592,0,0
170,latest.business,latest,business,807625,0,0
171,thumbnail.page,thumbnail,page,805304,0,0
172,natural.beauty,natural,beauty,801373,0,0
173,largest.online,largest,online,797348,0,0
174,every.page,every,page,796631,0,0
175,discussion.group,discussion,group,796030,0,0
176,own.country,own,country,791006,0,0
177,sample.video,sample,video,789248,0,0
178,rental.property,rental,property,785810,1,0
179,any.data,any,data,781033,1,0
180,any.legal,any,legal,780653,0,0
181,server.software,server,software,780595,0,0
182,calling.cards,calling,cards,777686,0,0
183,yellow.gold,yellow,gold,773837,0,0
184,other.site,other,site,770051,0,0
185,size.photo,size,photo,766051,0,0
186,sporting.events,sporting,events,765726,0,0
187,traveler.reviews,traveler,reviews,765582,0,0
188,computer.game,computer,game,764831,1,0
189,really.love,really,love,763133,0,0
190,lesbian.video,lesbian,video,761389,0,0
191,judicial.review,judicial,review,758439,0,0
192,many.parts,many,parts,750052,0,0
193,navigation.bar,navigation,bar,750026,0,0
194,wondering.how,wondering,how,749985,1,0
195,internet.site,internet,site,749272,0,0
196,food.security,food,security,747193,1,0
197,new.baby,new,baby,746937,0,0
198,card.games,card,games,743606,0,0
199,new.design,new,design,741817,0,0
200,consolidated.financial,consolidated,financial,738806,0,0
201,much.work,much,work,733553,0,0
202,cover.art,cover,art,732479,0,0
203,gift.shop,gift,shop,727427,0,0
204,like.how,like,how,726303,1,0
205,user.talk,user,talk,725986,1,0
206,either.party,either,party,724940,0,0
207,computer.security,computer,security,722590,1,0
208,please.direct,please,direct,718172,0,0
209,college.degree,college,degree,717295,0,0
210,internet.dating,internet,dating,717031,0,0
211,movie.review,movie,review,711420,0,0
212,check.site,check,site,710789,0,0
213,need.one,need,one,710394,0,0
214,learned.how,learned,how,709801,1,0
215,single.day,single,day,709395,0,0
216,products.online,products,online,709319,0,0
217,discover.how,discover,how,708241,1,0
218,same.day,same,day,707959,0,0
219,loans.mortgage,loans,mortgage,703522,0,0
220,security.systems,security,systems,701434,0,0
221,foreign.country,foreign,country,700588,0,0
222,department.store,department,store,698076,0,0
223,homeowner.company,homeowner,company,697162,0,0
224,modern.day,modern,day,696583,0,0
225,showing.how,showing,how,693828,1,0
226,image.credit,image,credit,691322,1,0
227,all.data,all,data,687747,1,0
228,fucking.movie,fucking,movie,684123,1,0
229,coffee.shop,coffee,shop,681417,0,0
230,sell.one,sell,one,680405,0,0
231,decide.how,decide,how,678929,1,0
232,asked.how,asked,how,678890,1,0
233,water.supplies,water,supplies,676814,0,0
234,providing.services,providing,services,675372,0,0
235,another.site,another,site,675259,0,0
236,free.phone,free,phone,675219,1,0
237,other.international,other,international,674328,0,0
238,online.directory,online,directory,668144,0,0
239,cheap.online,cheap,online,665855,0,0
240,say.how,say,how,665733,1,0
241,amazing.how,amazing,how,664307,1,0
242,recommended.services,recommended,services,662704,0,0
243,term.life,term,life,660555,0,0
244,address.space,address,space,656414,0,0
245,other.country,other,country,654720,0,0
246,job.movie,job,movie,651236,1,0
247,cheat.codes,cheat,codes,646913,0,0
248,company.data,company,data,646065,1,0
249,personal.life,personal,life,643628,0,0
250,available.data,available,data,643540,1,0
251,realize.how,realize,how,643084,1,0
252,fire.protection,fire,protection,641586,1,0
253,input.data,input,data,641541,1,0
254,poker.software,poker,software,640131,0,0
255,second.mortgage,second,mortgage,639826,0,0
256,ebay.email,ebay,email,639497,0,0
257,atlantic.city,atlantic,city,638980,0,0
258,marketing.services,marketing,services,638467,0,0
259,all.business,all,business,638464,0,0
